m1(kg),m2(kg),x1(m),x2(m),Δx(m),a(m/s^2),Δt(Pred)(s),Δt(Act)(s),%error
0.14179,0.02517,0.5501,1.175,0.6249,1.477395783,0.919754312,0.8268,11.24265989
0.14179,0.02517,0.5501,1.175,0.6249,1.477395783,0.919754312,0.8062,14.08512925
0.14179,0.02517,0.5525,1.17,0.6175,1.477395783,0.9142922768,0.8188,11.66246663
0.14179,0.02517,0.5525,1.17,0.6175,1.477395783,0.9142922768,0.8901,2.717927961
0.14179,0.02517,0.5525,1.17,0.6175,1.477395783,0.9142922768,0.8736,4.657998716
0.14179,0.01518,0.5525,1.17,0.6175,0.9477224947,1.141544601,1.104,3.400779062
0.14179,0.01518,0.5525,0.965,0.4125,0.9477224947,0.9330101745,0.9028,3.346275426
0.14179,0.01518,0.5525,0.965,0.4125,0.9477224947,0.9330101745,0.8967,4.049311313
0.14179,0.01518,0.5525,0.96,0.4075,0.9477224947,0.9273383276,0.8455,9.679281799
0.14179,0.01003,0.5525,0.96,0.4075,0.6474377552,1.121966251,1.0046,11.68288386
0.14179,0.01003,0.5525,0.96,0.4075,0.6474377552,1.121966251,1.1047,1.562981018
0.14179,0.01003,0.5525,0.96,0.4075,0.6474377552,1.121966251,1.127,0.4466502834
0.14179,0.015,0.5525,0.96,0.4075,0.9375597934,0.932350734,0.9372,0.5174206165
0.14179,0.02517,0.5525,0.96,0.4075,1.477395783,0.7427289922,0.737,0.7773395066
0.14179,0.02517,0.5525,0.96,0.4075,1.477395783,0.7427289922,0.7677,3.252703899
0.14179,0.02517,0.5525,0.96,0.4075,1.477395783,0.7427289922,0.7233,2.686159569
0.14179,0.02517,0.5525,0.96,0.4075,1.477395783,0.7427289922,0.7296,1.799478093
0.14179,0.02018,0.5525,0.96,0.4075,1.220991542,0.8170007904,0.803,1.743560444
0.14179,0.02018,0.5525,0.96,0.4075,1.220991542,0.8170007904,0.7873,3.772487027
0.14179,0.02018,0.5525,0.96,0.4075,1.220991542,0.8170007904,0.8068,1.264351805
0.14179,0.02018,0.5525,0.96,0.4075,1.220991542,0.8170007904,0.8114,0.6902625543
0.14179,0.01418,0.5525,0.96,0.4075,0.8909662115,0.9564189825,0.9491,0.7711497734